['菜花', '2.0', '2.2', '2.1', '', '2022-04-04']['大白菜', '1.3', '2.0', '1.65', '', '2022-04-04']['娃娃菜', '1.6', '2.0', '1.8', '大', '2022-04-04']['小白菜', '1.2', '1.5', '1.35', '', '2022-04-04']['圆白菜', '1.7', '1.8', '1.75', '暄', '2022-04-04']['圆白菜', '0.6', '1.4', '1.0', '露地', '2022-04-04']['紫甘蓝', '1.1', '1.2', '1.15', '', '2022-04-04']['芹菜', '2.2', '2.5', '2.35', '', '2022-04-04']['西芹', '2.5', '2.9', '2.7', '', '2022-04-04']['菠菜', '1.2', '1.8', '1.5', '长杆\\短杆', '2022-04-04']['莴笋', '1.3', '2.0', '1.65', '', '2022-04-04']['团生菜', '1.7', '3.0', '2.35', '白球\\净', '2022-04-04']['散叶生菜', '2.5', '3.5', '3.0', '毛\\净', '2022-04-04']['罗马生菜', '3.5', '3.6', '3.55', '', '2022-04-04']['油菜', '1.8', '2.0', '1.9', '', '2022-04-04']['香菜', '1.5', '2.5', '2.0', '', '2022-04-04']['茴香', '2.0', '3.0', '2.5', '', '2022-04-04']['韭菜', '2.5', '3.0', '2.75', '', '2022-04-04']['苦菊', '2.3', '3.0', '2.65', '', '2022-04-04']['油麦菜', '1.8', '3.3', '2.55', '', '2022-04-04']['菜花', '2.0', '2.2', '2.1', '', '2022-04-04']['大白菜', '1.3', '2.0', '1.65', '', '2022-04-04']
['娃娃菜', '1.6', '2.0', '1.8', '大', '2022-04-04']
['小白菜', '1.2', '1.5', '1.35', '', '2022-04-04']
['圆白菜', '1.7', '1.8', '1.75', '暄', '2022-04-04']
['圆白菜', '0.6', '1.4', '1.0', '露地', '2022-04-04']
['紫甘蓝', '1.1', '1.2', '1.15', '', '2022-04-04']
['芹菜', '2.2', '2.5', '2.35', '', '2022-04-04']
['西芹', '2.5', '2.9', '2.7', '', '2022-04-04']
['菠菜', '1.2', '1.8', '1.5', '长杆\\短杆', '2022-04-04']
['莴笋', '1.3', '2.0', '1.65', '', '2022-04-04']
['团生菜', '1.7', '3.0', '2.35', '白球\\净', '2022-04-04']
['散叶生菜', '2.5', '3.5', '3.0', '毛\\净', '2022-04-04']
['罗马生菜', '3.5', '3.6', '3.55', '', '2022-04-04']
['油菜', '1.8', '2.0', '1.9', '', '2022-04-04']
['香菜', '1.5', '2.5', '2.0', '', '2022-04-04']
['茴香', '2.0', '3.0', '2.5', '', '2022-04-04']
['韭菜', '2.5', '3.0', '2.75', '', '2022-04-04']
['苦菊', '2.3', '3.0', '2.65', '', '2022-04-04']
['油麦菜', '1.8', '3.3', '2.55', '', '2022-04-04']
['菜花', '2.0', '2.2', '2.1', '', '2022-04-04']
['大白菜', '1.3', '2.0', '1.65', '', '2022-04-04']
['娃娃菜', '1.6', '2.0', '1.8', '大', '2022-04-04']
['小白菜', '1.2', '1.5', '1.35', '', '2022-04-04']
['圆白菜', '1.7', '1.8', '1.75', '暄', '2022-04-04']
['圆白菜', '0.6', '1.4', '1.0', '露地', '2022-04-04']
['紫甘蓝', '1.1', '1.2', '1.15', '', '2022-04-04']
['芹菜', '2.2', '2.5', '2.35', '', '2022-04-04']
['西芹', '2.5', '2.9', '2.7', '', '2022-04-04']
['菠菜', '1.2', '1.8', '1.5', '长杆\\短杆', '2022-04-04']
['莴笋', '1.3', '2.0', '1.65', '', '2022-04-04']
['团生菜', '1.7', '3.0', '2.35', '白球\\净', '2022-04-04']
['散叶生菜', '2.5', '3.5', '3.0', '毛\\净', '2022-04-04']
['罗马生菜', '3.5', '3.6', '3.55', '', '2022-04-04']
['油菜', '1.8', '2.0', '1.9', '', '2022-04-04']
['香菜', '1.5', '2.5', '2.0', '', '2022-04-04']
['茴香', '2.0', '3.0', '2.5', '', '2022-04-04']
['韭菜', '2.5', '3.0', '2.75', '', '2022-04-04']
['苦菊', '2.3', '3.0', '2.65', '', '2022-04-04']
['油麦菜', '1.8', '3.3', '2.55', '', '2022-04-04']
['菜花', '2.0', '2.2', '2.1', '', '2022-04-04']
