['阳光玫瑰', '15.0', '55.0', '35.0', '', '2022-04-04']['泰国香蕉', '7.5', '8.4', '7.95', '帝王蕉', '2022-04-04']['晓蜜25号', '4.5', '6.0', '5.25', '', '2022-04-04']['黄金瓜', '5.2', '5.8', '5.5', '金蜜', '2022-04-04']['玉菇', '4.8', '5.6', '5.2', '', '2022-04-04']['长香玉', '4.6', '5.2', '4.9', '', '2022-04-04']['羊角蜜', '8.5', '9.0', '8.75', '六一', '2022-04-04']['东方蜜一号', '4.0', '5.5', '4.75', '', '2022-04-04']['花蕾甜瓜', '8.0', '8.5', '8.25', '', '2022-04-04']['绿宝甜瓜', '7.0', '8.0', '7.5', '', '2022-04-04']['东北甜瓜', '8.0', '9.0', '8.5', '', '2022-04-04']['博阳', '7.0', '8.5', '7.75', '系列', '2022-04-04']['富士', '2.2', '3.3', '2.75', '纸袋Φ70-84', '2022-04-04']['富士', '3.3', '4.5', '3.9', '纸袋Φ85以上', '2022-04-04']['富士', '2.0', '3.0', '2.5', '纸袋+膜袋', '2022-04-04']['黄元帅', '2.5', '3.3', '2.9', '', '2022-04-04']['花牛', '2.6', '5.0', '3.8', '', '2022-04-04']['阿克苏', '3.8', '5.0', '4.4', '冰糖心', '2022-04-04']['国光', '1.3', '2.5', '1.9', '', '2022-04-04']['寒富苹果', '1.4', '2.0', '1.7', '', '2022-04-04']['阳光玫瑰', '15.0', '55.0', '35.0', '', '2022-04-04']['泰国香蕉', '7.5', '8.4', '7.95', '帝王蕉', '2022-04-04']
['晓蜜25号', '4.5', '6.0', '5.25', '', '2022-04-04']
['黄金瓜', '5.2', '5.8', '5.5', '金蜜', '2022-04-04']
['玉菇', '4.8', '5.6', '5.2', '', '2022-04-04']
['长香玉', '4.6', '5.2', '4.9', '', '2022-04-04']
['羊角蜜', '8.5', '9.0', '8.75', '六一', '2022-04-04']
['东方蜜一号', '4.0', '5.5', '4.75', '', '2022-04-04']
['花蕾甜瓜', '8.0', '8.5', '8.25', '', '2022-04-04']
['绿宝甜瓜', '7.0', '8.0', '7.5', '', '2022-04-04']
['东北甜瓜', '8.0', '9.0', '8.5', '', '2022-04-04']
['博阳', '7.0', '8.5', '7.75', '系列', '2022-04-04']
['富士', '2.2', '3.3', '2.75', '纸袋Φ70-84', '2022-04-04']
['富士', '3.3', '4.5', '3.9', '纸袋Φ85以上', '2022-04-04']
['富士', '2.0', '3.0', '2.5', '纸袋+膜袋', '2022-04-04']
['黄元帅', '2.5', '3.3', '2.9', '', '2022-04-04']
['花牛', '2.6', '5.0', '3.8', '', '2022-04-04']
['阿克苏', '3.8', '5.0', '4.4', '冰糖心', '2022-04-04']
['国光', '1.3', '2.5', '1.9', '', '2022-04-04']
['寒富苹果', '1.4', '2.0', '1.7', '', '2022-04-04']
['阳光玫瑰', '15.0', '55.0', '35.0', '', '2022-04-04']
['泰国香蕉', '7.5', '8.4', '7.95', '帝王蕉', '2022-04-04']
['晓蜜25号', '4.5', '6.0', '5.25', '', '2022-04-04']
['黄金瓜', '5.2', '5.8', '5.5', '金蜜', '2022-04-04']
['玉菇', '4.8', '5.6', '5.2', '', '2022-04-04']
['长香玉', '4.6', '5.2', '4.9', '', '2022-04-04']
['羊角蜜', '8.5', '9.0', '8.75', '六一', '2022-04-04']
['东方蜜一号', '4.0', '5.5', '4.75', '', '2022-04-04']
['花蕾甜瓜', '8.0', '8.5', '8.25', '', '2022-04-04']
['绿宝甜瓜', '7.0', '8.0', '7.5', '', '2022-04-04']
['东北甜瓜', '8.0', '9.0', '8.5', '', '2022-04-04']
['博阳', '7.0', '8.5', '7.75', '系列', '2022-04-04']
['富士', '2.2', '3.3', '2.75', '纸袋Φ70-84', '2022-04-04']
['富士', '3.3', '4.5', '3.9', '纸袋Φ85以上', '2022-04-04']
['富士', '2.0', '3.0', '2.5', '纸袋+膜袋', '2022-04-04']
['黄元帅', '2.5', '3.3', '2.9', '', '2022-04-04']
['花牛', '2.6', '5.0', '3.8', '', '2022-04-04']
['阿克苏', '3.8', '5.0', '4.4', '冰糖心', '2022-04-04']
['国光', '1.3', '2.5', '1.9', '', '2022-04-04']
['寒富苹果', '1.4', '2.0', '1.7', '', '2022-04-04']
['阳光玫瑰', '15.0', '55.0', '35.0', '', '2022-04-04']
