['后臀尖', '7.0', '7.5', '7.25', '肥', '2022-04-04']['红提', '6.0', '9.0', '7.5', '', '2022-04-04']['克伦生', '6.0', '15.0', '10.5', '', '2022-04-04']['郁金香', '13.0', '16.0', '14.5', '茉莉香', '2022-04-04']['乒乓球', '18.0', '20.0', '19.0', '', '2022-04-04']['黑提', '12.0', '17.0', '14.5', '夏黑', '2022-04-04']['巨峰', '4.0', '5.0', '4.5', '', '2022-04-04']['小台农', '5.0', '7.0', '6.0', '生', '2022-04-04']['大台农', '6.0', '8.5', '7.25', '生', '2022-04-04']['青皮芒果', '5.5', '7.5', '6.5', '', '2022-04-04']['玉纹', '10.5', '15.0', '12.75', '', '2022-04-04']['高乐蜜', '5.0', '8.0', '6.5', '', '2022-04-04']['水仙芒果', '6.0', '11.0', '8.5', '', '2022-04-04']['红灯', '26.0', '28.0', '27.0', '', '2022-04-04']['美早', '25.0', '65.0', '45.0', '', '2022-04-04']['白条猪', '8.25', '8.25', '8.25', '瘦', '2022-04-04']['白条猪', '7.25', '7.25', '7.25', '肥', '2022-04-04']['前臀尖', '7.5', '8.0', '7.75', '瘦', '2022-04-04']['前臀尖', '7.0', '7.5', '7.25', '肥', '2022-04-04']['后臀尖', '7.5', '8.0', '7.75', '瘦', '2022-04-04']['后臀尖', '7.0', '7.5', '7.25', '肥', '2022-04-04']['红提', '6.0', '9.0', '7.5', '', '2022-04-04']
['克伦生', '6.0', '15.0', '10.5', '', '2022-04-04']
['郁金香', '13.0', '16.0', '14.5', '茉莉香', '2022-04-04']
['乒乓球', '18.0', '20.0', '19.0', '', '2022-04-04']
['黑提', '12.0', '17.0', '14.5', '夏黑', '2022-04-04']
['巨峰', '4.0', '5.0', '4.5', '', '2022-04-04']
['小台农', '5.0', '7.0', '6.0', '生', '2022-04-04']
['大台农', '6.0', '8.5', '7.25', '生', '2022-04-04']
['青皮芒果', '5.5', '7.5', '6.5', '', '2022-04-04']
['玉纹', '10.5', '15.0', '12.75', '', '2022-04-04']
['高乐蜜', '5.0', '8.0', '6.5', '', '2022-04-04']
['水仙芒果', '6.0', '11.0', '8.5', '', '2022-04-04']
['红灯', '26.0', '28.0', '27.0', '', '2022-04-04']
['美早', '25.0', '65.0', '45.0', '', '2022-04-04']
['白条猪', '8.25', '8.25', '8.25', '瘦', '2022-04-04']
['白条猪', '7.25', '7.25', '7.25', '肥', '2022-04-04']
['前臀尖', '7.5', '8.0', '7.75', '瘦', '2022-04-04']
['前臀尖', '7.0', '7.5', '7.25', '肥', '2022-04-04']
['后臀尖', '7.5', '8.0', '7.75', '瘦', '2022-04-04']
['后臀尖', '7.0', '7.5', '7.25', '肥', '2022-04-04']
['红提', '6.0', '9.0', '7.5', '', '2022-04-04']
['克伦生', '6.0', '15.0', '10.5', '', '2022-04-04']
['郁金香', '13.0', '16.0', '14.5', '茉莉香', '2022-04-04']
['乒乓球', '18.0', '20.0', '19.0', '', '2022-04-04']
['黑提', '12.0', '17.0', '14.5', '夏黑', '2022-04-04']
['巨峰', '4.0', '5.0', '4.5', '', '2022-04-04']
['小台农', '5.0', '7.0', '6.0', '生', '2022-04-04']
['大台农', '6.0', '8.5', '7.25', '生', '2022-04-04']
['青皮芒果', '5.5', '7.5', '6.5', '', '2022-04-04']
['玉纹', '10.5', '15.0', '12.75', '', '2022-04-04']
['高乐蜜', '5.0', '8.0', '6.5', '', '2022-04-04']
['水仙芒果', '6.0', '11.0', '8.5', '', '2022-04-04']
['红灯', '26.0', '28.0', '27.0', '', '2022-04-04']
['美早', '25.0', '65.0', '45.0', '', '2022-04-04']
['白条猪', '8.25', '8.25', '8.25', '瘦', '2022-04-04']
['白条猪', '7.25', '7.25', '7.25', '肥', '2022-04-04']
['前臀尖', '7.5', '8.0', '7.75', '瘦', '2022-04-04']
['前臀尖', '7.0', '7.5', '7.25', '肥', '2022-04-04']
['后臀尖', '7.5', '8.0', '7.75', '瘦', '2022-04-04']
['后臀尖', '7.0', '7.5', '7.25', '肥', '2022-04-04']
