['猪头', '8.0', '8.0', '8.0', '', '2022-04-04']['五花肉', '11.0', '12.5', '11.75', '瘦', '2022-04-04']['五花肉', '9.5', '11.0', '10.25', '肥', '2022-04-04']['五花头', '7.5', '9.0', '8.25', '', '2022-04-04']['纯通脊', '9.5', '10.0', '9.75', '', '2022-04-04']['通脊', '7.0', '8.0', '7.5', '', '2022-04-04']['小里脊', '11.0', '13.0', '12.0', '', '2022-04-04']['梅花肉', '9.5', '10.5', '10.0', '', '2022-04-04']['纯瘦肉', '8.5', '9.0', '8.75', '', '2022-04-04']['护心肉', '11.0', '11.0', '11.0', '', '2022-04-04']['前肘', '7.0', '8.0', '7.5', '', '2022-04-04']['后肘（带骨）', '5.5', '6.5', '6.0', '', '2022-04-04']['后肘（去骨）', '7.0', '7.5', '7.25', '', '2022-04-04']['猪尾巴', '39.0', '40.0', '39.5', '', '2022-04-04']['猪蹄', '20.0', '20.0', '20.0', '', '2022-04-04']['纯排骨', '19.0', '22.0', '20.5', '', '2022-04-04']['纯腔骨', '6.5', '8.0', '7.25', '', '2022-04-04']['腔排骨', '11.5', '13.0', '12.25', '', '2022-04-04']['梅花骨', '8.5', '9.5', '9.0', '', '2022-04-04']['棒骨', '8.0', '9.0', '8.5', '', '2022-04-04']['猪头', '8.0', '8.0', '8.0', '', '2022-04-04']['五花肉', '11.0', '12.5', '11.75', '瘦', '2022-04-04']
['五花肉', '9.5', '11.0', '10.25', '肥', '2022-04-04']
['五花头', '7.5', '9.0', '8.25', '', '2022-04-04']
['纯通脊', '9.5', '10.0', '9.75', '', '2022-04-04']
['通脊', '7.0', '8.0', '7.5', '', '2022-04-04']
['小里脊', '11.0', '13.0', '12.0', '', '2022-04-04']
['梅花肉', '9.5', '10.5', '10.0', '', '2022-04-04']
['纯瘦肉', '8.5', '9.0', '8.75', '', '2022-04-04']
['护心肉', '11.0', '11.0', '11.0', '', '2022-04-04']
['前肘', '7.0', '8.0', '7.5', '', '2022-04-04']
['后肘（带骨）', '5.5', '6.5', '6.0', '', '2022-04-04']
['后肘（去骨）', '7.0', '7.5', '7.25', '', '2022-04-04']
['猪尾巴', '39.0', '40.0', '39.5', '', '2022-04-04']
['猪蹄', '20.0', '20.0', '20.0', '', '2022-04-04']
['纯排骨', '19.0', '22.0', '20.5', '', '2022-04-04']
['纯腔骨', '6.5', '8.0', '7.25', '', '2022-04-04']
['腔排骨', '11.5', '13.0', '12.25', '', '2022-04-04']
['梅花骨', '8.5', '9.5', '9.0', '', '2022-04-04']
['棒骨', '8.0', '9.0', '8.5', '', '2022-04-04']
['猪头', '8.0', '8.0', '8.0', '', '2022-04-04']
['五花肉', '11.0', '12.5', '11.75', '瘦', '2022-04-04']
['五花肉', '9.5', '11.0', '10.25', '肥', '2022-04-04']
['五花头', '7.5', '9.0', '8.25', '', '2022-04-04']
['纯通脊', '9.5', '10.0', '9.75', '', '2022-04-04']
['通脊', '7.0', '8.0', '7.5', '', '2022-04-04']
['小里脊', '11.0', '13.0', '12.0', '', '2022-04-04']
['梅花肉', '9.5', '10.5', '10.0', '', '2022-04-04']
['纯瘦肉', '8.5', '9.0', '8.75', '', '2022-04-04']
['护心肉', '11.0', '11.0', '11.0', '', '2022-04-04']
['前肘', '7.0', '8.0', '7.5', '', '2022-04-04']
['后肘（带骨）', '5.5', '6.5', '6.0', '', '2022-04-04']
['后肘（去骨）', '7.0', '7.5', '7.25', '', '2022-04-04']
['猪尾巴', '39.0', '40.0', '39.5', '', '2022-04-04']
['猪蹄', '20.0', '20.0', '20.0', '', '2022-04-04']
['纯排骨', '19.0', '22.0', '20.5', '', '2022-04-04']
['纯腔骨', '6.5', '8.0', '7.25', '', '2022-04-04']
['腔排骨', '11.5', '13.0', '12.25', '', '2022-04-04']
['梅花骨', '8.5', '9.5', '9.0', '', '2022-04-04']
['棒骨', '8.0', '9.0', '8.5', '', '2022-04-04']
['猪头', '8.0', '8.0', '8.0', '', '2022-04-04']
