['牛柳', '37.0', '38.0', '37.5', '里脊', '2022-04-04']['猪口条', '14.0', '14.0', '14.0', '', '2022-04-04']['猪耳', '26.0', '26.0', '26.0', '', '2022-04-04']['猪脑', '25.0', '25.0', '25.0', '', '2022-04-04']['猪肚', '22.0', '22.0', '22.0', '', '2022-04-04']['猪板油', '5.0', '6.0', '5.5', '', '2022-04-04']['肥膘肉', '4.0', '5.0', '4.5', '', '2022-04-04']['猪腰子', '12.0', '13.0', '12.5', '', '2022-04-04']['猪心', '6.0', '7.0', '6.5', '', '2022-04-04']['猪肝', '4.0', '4.5', '4.25', '', '2022-04-04']['猪肺', '3.0', '3.5', '3.25', '', '2022-04-04']['猪皮', '3.0', '5.0', '4.0', '', '2022-04-04']['猪肠头', '15.0', '16.0', '15.5', '', '2022-04-04']['猪肠', '14.0', '15.0', '14.5', '', '2022-04-04']['整牛', '33.5', '33.75', '33.63', '', '2022-04-04']['牛前腱', '37.0', '38.0', '37.5', '', '2022-04-04']['牛后腱', '37.0', '38.0', '37.5', '', '2022-04-04']['牛前腿', '35.0', '35.0', '35.0', '', '2022-04-04']['牛后腿', '35.0', '35.0', '35.0', '', '2022-04-04']['牛腰窝', '34.0', '35.0', '34.5', '', '2022-04-04']['牛柳', '37.0', '38.0', '37.5', '里脊', '2022-04-04']['猪口条', '14.0', '14.0', '14.0', '', '2022-04-04']
['猪耳', '26.0', '26.0', '26.0', '', '2022-04-04']
['猪脑', '25.0', '25.0', '25.0', '', '2022-04-04']
['猪肚', '22.0', '22.0', '22.0', '', '2022-04-04']
['猪板油', '5.0', '6.0', '5.5', '', '2022-04-04']
['肥膘肉', '4.0', '5.0', '4.5', '', '2022-04-04']
['猪腰子', '12.0', '13.0', '12.5', '', '2022-04-04']
['猪心', '6.0', '7.0', '6.5', '', '2022-04-04']
['猪肝', '4.0', '4.5', '4.25', '', '2022-04-04']
['猪肺', '3.0', '3.5', '3.25', '', '2022-04-04']
['猪皮', '3.0', '5.0', '4.0', '', '2022-04-04']
['猪肠头', '15.0', '16.0', '15.5', '', '2022-04-04']
['猪肠', '14.0', '15.0', '14.5', '', '2022-04-04']
['整牛', '33.5', '33.75', '33.63', '', '2022-04-04']
['牛前腱', '37.0', '38.0', '37.5', '', '2022-04-04']
['牛后腱', '37.0', '38.0', '37.5', '', '2022-04-04']
['牛前腿', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛后腿', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛腰窝', '34.0', '35.0', '34.5', '', '2022-04-04']
['牛柳', '37.0', '38.0', '37.5', '里脊', '2022-04-04']
['猪口条', '14.0', '14.0', '14.0', '', '2022-04-04']
['猪耳', '26.0', '26.0', '26.0', '', '2022-04-04']
['猪脑', '25.0', '25.0', '25.0', '', '2022-04-04']
['猪肚', '22.0', '22.0', '22.0', '', '2022-04-04']
['猪板油', '5.0', '6.0', '5.5', '', '2022-04-04']
['肥膘肉', '4.0', '5.0', '4.5', '', '2022-04-04']
['猪腰子', '12.0', '13.0', '12.5', '', '2022-04-04']
['猪心', '6.0', '7.0', '6.5', '', '2022-04-04']
['猪肝', '4.0', '4.5', '4.25', '', '2022-04-04']
['猪肺', '3.0', '3.5', '3.25', '', '2022-04-04']
['猪皮', '3.0', '5.0', '4.0', '', '2022-04-04']
['猪肠头', '15.0', '16.0', '15.5', '', '2022-04-04']
['猪肠', '14.0', '15.0', '14.5', '', '2022-04-04']
['整牛', '33.5', '33.75', '33.63', '', '2022-04-04']
['牛前腱', '37.0', '38.0', '37.5', '', '2022-04-04']
['牛后腱', '37.0', '38.0', '37.5', '', '2022-04-04']
['牛前腿', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛后腿', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛腰窝', '34.0', '35.0', '34.5', '', '2022-04-04']
['牛柳', '37.0', '38.0', '37.5', '里脊', '2022-04-04']
