['羊蝎子', '26.0', '26.0', '26.0', '精品', '2022-04-04']['精牛柳', '39.0', '40.0', '39.5', '', '2022-04-04']['牛腩', '35.0', '35.0', '35.0', '', '2022-04-04']['牛林', '35.0', '35.0', '35.0', '', '2022-04-04']['牛油', '6.0', '6.0', '6.0', '', '2022-04-04']['牛金钱腱', '50.0', '50.0', '50.0', '', '2022-04-04']['牛筋头巴脑', '30.0', '33.0', '31.5', '', '2022-04-04']['牛骨', '5.0', '5.0', '5.0', '', '2022-04-04']['牛排骨', '30.0', '31.0', '30.5', '', '2022-04-04']['牛板筋', '35.0', '35.0', '35.0', '', '2022-04-04']['牛尾', '33.0', '33.0', '33.0', '', '2022-04-04']['牛百叶', '55.0', '55.0', '55.0', '', '2022-04-04']['牛上脑', '34.0', '35.0', '34.5', '', '2022-04-04']['整羊', '24.5', '27.0', '25.75', '', '2022-04-04']['去骨羊前腿', '34.0', '35.0', '34.5', '', '2022-04-04']['去骨羊后腿', '35.0', '36.0', '35.5', '', '2022-04-04']['羊腰窝', '34.0', '34.0', '34.0', '', '2022-04-04']['羊肉片', '36.0', '38.0', '37.0', '', '2022-04-04']['羊腰子', '15.0', '16.0', '15.5', '挂油', '2022-04-04']['羊蝎子', '13.0', '15.0', '14.0', '普通', '2022-04-04']['羊蝎子', '26.0', '26.0', '26.0', '精品', '2022-04-04']['精牛柳', '39.0', '40.0', '39.5', '', '2022-04-04']
['牛腩', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛林', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛油', '6.0', '6.0', '6.0', '', '2022-04-04']
['牛金钱腱', '50.0', '50.0', '50.0', '', '2022-04-04']
['牛筋头巴脑', '30.0', '33.0', '31.5', '', '2022-04-04']
['牛骨', '5.0', '5.0', '5.0', '', '2022-04-04']
['牛排骨', '30.0', '31.0', '30.5', '', '2022-04-04']
['牛板筋', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛尾', '33.0', '33.0', '33.0', '', '2022-04-04']
['牛百叶', '55.0', '55.0', '55.0', '', '2022-04-04']
['牛上脑', '34.0', '35.0', '34.5', '', '2022-04-04']
['整羊', '24.5', '27.0', '25.75', '', '2022-04-04']
['去骨羊前腿', '34.0', '35.0', '34.5', '', '2022-04-04']
['去骨羊后腿', '35.0', '36.0', '35.5', '', '2022-04-04']
['羊腰窝', '34.0', '34.0', '34.0', '', '2022-04-04']
['羊肉片', '36.0', '38.0', '37.0', '', '2022-04-04']
['羊腰子', '15.0', '16.0', '15.5', '挂油', '2022-04-04']
['羊蝎子', '13.0', '15.0', '14.0', '普通', '2022-04-04']
['羊蝎子', '26.0', '26.0', '26.0', '精品', '2022-04-04']
['精牛柳', '39.0', '40.0', '39.5', '', '2022-04-04']
['牛腩', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛林', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛油', '6.0', '6.0', '6.0', '', '2022-04-04']
['牛金钱腱', '50.0', '50.0', '50.0', '', '2022-04-04']
['牛筋头巴脑', '30.0', '33.0', '31.5', '', '2022-04-04']
['牛骨', '5.0', '5.0', '5.0', '', '2022-04-04']
['牛排骨', '30.0', '31.0', '30.5', '', '2022-04-04']
['牛板筋', '35.0', '35.0', '35.0', '', '2022-04-04']
['牛尾', '33.0', '33.0', '33.0', '', '2022-04-04']
['牛百叶', '55.0', '55.0', '55.0', '', '2022-04-04']
['牛上脑', '34.0', '35.0', '34.5', '', '2022-04-04']
['整羊', '24.5', '27.0', '25.75', '', '2022-04-04']
['去骨羊前腿', '34.0', '35.0', '34.5', '', '2022-04-04']
['去骨羊后腿', '35.0', '36.0', '35.5', '', '2022-04-04']
['羊腰窝', '34.0', '34.0', '34.0', '', '2022-04-04']
['羊肉片', '36.0', '38.0', '37.0', '', '2022-04-04']
['羊腰子', '15.0', '16.0', '15.5', '挂油', '2022-04-04']
['羊蝎子', '13.0', '15.0', '14.0', '普通', '2022-04-04']
['羊蝎子', '26.0', '26.0', '26.0', '精品', '2022-04-04']
