['鸡琵琶腿', '8.0', '8.5', '8.25', '', '2022-04-04']['羊排骨', '25.0', '26.0', '25.5', '', '2022-04-04']['羊尾巴油', '8.0', '9.0', '8.5', '', '2022-04-04']['羊小腿', '22.0', '22.0', '22.0', '羊棒', '2022-04-04']['羊腱子肉', '35.0', '36.0', '35.5', '', '2022-04-04']['羊上脑', '35.0', '35.0', '35.0', '', '2022-04-04']['羊骨头', '10.0', '11.0', '10.5', '', '2022-04-04']['羊腩', '25.0', '25.0', '25.0', '', '2022-04-04']['羊里脊', '35.0', '35.0', '35.0', '', '2022-04-04']['淘汰鸡', '9.5', '10.0', '9.75', '干净膛', '2022-04-04']['淘汰鸡', '9.0', '9.5', '9.25', '净膛', '2022-04-04']['仔鸡', '7.5', '7.5', '7.5', '净膛', '2022-04-04']['肉鸡', '6.8', '7.0', '6.9', '', '2022-04-04']['鸡胸', '6.5', '7.0', '6.75', '', '2022-04-04']['鸡翅', '11.0', '11.0', '11.0', '', '2022-04-04']['鸡翅尖', '7.5', '7.5', '7.5', '', '2022-04-04']['鸡翅中', '22.0', '22.0', '22.0', '', '2022-04-04']['鸡翅根', '8.5', '8.5', '8.5', '', '2022-04-04']['鸡边腿', '7.0', '7.0', '7.0', '', '2022-04-04']['鸡排腿', '7.5', '7.5', '7.5', '', '2022-04-04']['鸡琵琶腿', '8.0', '8.5', '8.25', '', '2022-04-04']['羊排骨', '25.0', '26.0', '25.5', '', '2022-04-04']
['羊尾巴油', '8.0', '9.0', '8.5', '', '2022-04-04']
['羊小腿', '22.0', '22.0', '22.0', '羊棒', '2022-04-04']
['羊腱子肉', '35.0', '36.0', '35.5', '', '2022-04-04']
['羊上脑', '35.0', '35.0', '35.0', '', '2022-04-04']
['羊骨头', '10.0', '11.0', '10.5', '', '2022-04-04']
['羊腩', '25.0', '25.0', '25.0', '', '2022-04-04']
['羊里脊', '35.0', '35.0', '35.0', '', '2022-04-04']
['淘汰鸡', '9.5', '10.0', '9.75', '干净膛', '2022-04-04']
['淘汰鸡', '9.0', '9.5', '9.25', '净膛', '2022-04-04']
['仔鸡', '7.5', '7.5', '7.5', '净膛', '2022-04-04']
['肉鸡', '6.8', '7.0', '6.9', '', '2022-04-04']
['鸡胸', '6.5', '7.0', '6.75', '', '2022-04-04']
['鸡翅', '11.0', '11.0', '11.0', '', '2022-04-04']
['鸡翅尖', '7.5', '7.5', '7.5', '', '2022-04-04']
['鸡翅中', '22.0', '22.0', '22.0', '', '2022-04-04']
['鸡翅根', '8.5', '8.5', '8.5', '', '2022-04-04']
['鸡边腿', '7.0', '7.0', '7.0', '', '2022-04-04']
['鸡排腿', '7.5', '7.5', '7.5', '', '2022-04-04']
['鸡琵琶腿', '8.0', '8.5', '8.25', '', '2022-04-04']
['羊排骨', '25.0', '26.0', '25.5', '', '2022-04-04']
['羊尾巴油', '8.0', '9.0', '8.5', '', '2022-04-04']
['羊小腿', '22.0', '22.0', '22.0', '羊棒', '2022-04-04']
['羊腱子肉', '35.0', '36.0', '35.5', '', '2022-04-04']
['羊上脑', '35.0', '35.0', '35.0', '', '2022-04-04']
['羊骨头', '10.0', '11.0', '10.5', '', '2022-04-04']
['羊腩', '25.0', '25.0', '25.0', '', '2022-04-04']
['羊里脊', '35.0', '35.0', '35.0', '', '2022-04-04']
['淘汰鸡', '9.5', '10.0', '9.75', '干净膛', '2022-04-04']
['淘汰鸡', '9.0', '9.5', '9.25', '净膛', '2022-04-04']
['仔鸡', '7.5', '7.5', '7.5', '净膛', '2022-04-04']
['肉鸡', '6.8', '7.0', '6.9', '', '2022-04-04']
['鸡胸', '6.5', '7.0', '6.75', '', '2022-04-04']
['鸡翅', '11.0', '11.0', '11.0', '', '2022-04-04']
['鸡翅尖', '7.5', '7.5', '7.5', '', '2022-04-04']
['鸡翅中', '22.0', '22.0', '22.0', '', '2022-04-04']
['鸡翅根', '8.5', '8.5', '8.5', '', '2022-04-04']
['鸡边腿', '7.0', '7.0', '7.0', '', '2022-04-04']
['鸡排腿', '7.5', '7.5', '7.5', '', '2022-04-04']
['鸡琵琶腿', '8.0', '8.5', '8.25', '', '2022-04-04']
