['柴鸡蛋', '4.89', '8.5', '6.7', '', '2022-04-04']['鸡胗', '13.0', '18.0', '15.5', '', '2022-04-04']['鸡爪', '20.0', '20.0', '20.0', '', '2022-04-04']['鸡心', '6.0', '6.5', '6.25', '', '2022-04-04']['鸡肝', '3.0', '3.0', '3.0', '', '2022-04-04']['鸡脖子', '5.0', '5.0', '5.0', '去皮', '2022-04-04']['鸡头', '3.0', '3.0', '3.0', '', '2022-04-04']['鸡架子', '3.0', '3.0', '3.0', '', '2022-04-04']['白条乌鸡', '12.0', '12.0', '12.0', '净膛', '2022-04-04']['黑爪公鸡', '15.0', '15.0', '15.0', '净膛', '2022-04-04']['白条湖鸭', '7.0', '7.0', '7.0', '', '2022-04-04']['鸭腿', '6.5', '7.0', '6.75', '', '2022-04-04']['箱鸡蛋', '209.0', '215.0', '212.0', '', '2022-04-04']['箱鸡蛋', '4.75', '4.89', '4.82', '', '2022-04-04']['散鸡蛋', '5.0', '5.0', '5.0', '', '2022-04-04']['生鸭蛋', '6.8', '7.5', '7.15', '', '2022-04-04']['熟鸭蛋', '7.5', '8.5', '8.0', '', '2022-04-04']['松花蛋', '6.7', '9.0', '7.85', '', '2022-04-04']['鹅蛋', '12.0', '13.0', '12.5', '', '2022-04-04']['鹌鹑蛋', '7.2', '8.0', '7.6', '', '2022-04-04']['柴鸡蛋', '4.89', '8.5', '6.7', '', '2022-04-04']['鸡胗', '13.0', '18.0', '15.5', '', '2022-04-04']
['鸡爪', '20.0', '20.0', '20.0', '', '2022-04-04']
['鸡心', '6.0', '6.5', '6.25', '', '2022-04-04']
['鸡肝', '3.0', '3.0', '3.0', '', '2022-04-04']
['鸡脖子', '5.0', '5.0', '5.0', '去皮', '2022-04-04']
['鸡头', '3.0', '3.0', '3.0', '', '2022-04-04']
['鸡架子', '3.0', '3.0', '3.0', '', '2022-04-04']
['白条乌鸡', '12.0', '12.0', '12.0', '净膛', '2022-04-04']
['黑爪公鸡', '15.0', '15.0', '15.0', '净膛', '2022-04-04']
['白条湖鸭', '7.0', '7.0', '7.0', '', '2022-04-04']
['鸭腿', '6.5', '7.0', '6.75', '', '2022-04-04']
['箱鸡蛋', '209.0', '215.0', '212.0', '', '2022-04-04']
['箱鸡蛋', '4.75', '4.89', '4.82', '', '2022-04-04']
['散鸡蛋', '5.0', '5.0', '5.0', '', '2022-04-04']
['生鸭蛋', '6.8', '7.5', '7.15', '', '2022-04-04']
['熟鸭蛋', '7.5', '8.5', '8.0', '', '2022-04-04']
['松花蛋', '6.7', '9.0', '7.85', '', '2022-04-04']
['鹅蛋', '12.0', '13.0', '12.5', '', '2022-04-04']
['鹌鹑蛋', '7.2', '8.0', '7.6', '', '2022-04-04']
['柴鸡蛋', '4.89', '8.5', '6.7', '', '2022-04-04']
['鸡胗', '13.0', '18.0', '15.5', '', '2022-04-04']
['鸡爪', '20.0', '20.0', '20.0', '', '2022-04-04']
['鸡心', '6.0', '6.5', '6.25', '', '2022-04-04']
['鸡肝', '3.0', '3.0', '3.0', '', '2022-04-04']
['鸡脖子', '5.0', '5.0', '5.0', '去皮', '2022-04-04']
['鸡头', '3.0', '3.0', '3.0', '', '2022-04-04']
['鸡架子', '3.0', '3.0', '3.0', '', '2022-04-04']
['白条乌鸡', '12.0', '12.0', '12.0', '净膛', '2022-04-04']
['黑爪公鸡', '15.0', '15.0', '15.0', '净膛', '2022-04-04']
['白条湖鸭', '7.0', '7.0', '7.0', '', '2022-04-04']
['鸭腿', '6.5', '7.0', '6.75', '', '2022-04-04']
['箱鸡蛋', '209.0', '215.0', '212.0', '', '2022-04-04']
['箱鸡蛋', '4.75', '4.89', '4.82', '', '2022-04-04']
['散鸡蛋', '5.0', '5.0', '5.0', '', '2022-04-04']
['生鸭蛋', '6.8', '7.5', '7.15', '', '2022-04-04']
['熟鸭蛋', '7.5', '8.5', '8.0', '', '2022-04-04']
['松花蛋', '6.7', '9.0', '7.85', '', '2022-04-04']
['鹅蛋', '12.0', '13.0', '12.5', '', '2022-04-04']
['鹌鹑蛋', '7.2', '8.0', '7.6', '', '2022-04-04']
['柴鸡蛋', '4.89', '8.5', '6.7', '', '2022-04-04']
