['黄鳝', '36.0', '36.0', '36.0', '50g-100g', '2022-04-04']['乌鸡蛋', '7.0', '8.0', '7.5', '', '2022-04-04']['鸵鸟蛋', '100.0', '110.0', '105.0', '', '2022-04-04']['鸽子蛋', '2.8', '3.0', '2.9', '', '2022-04-04']['鲤鱼', '6.5', '7.0', '6.75', '750g-1000g', '2022-04-04']['鲤鱼', '7.0', '7.5', '7.25', '>1000g', '2022-04-04']['草鱼', '9.0', '9.5', '9.25', '750g-1000g', '2022-04-04']['草鱼', '9.0', '9.5', '9.25', '1500g左右', '2022-04-04']['鲫鱼', '11.0', '11.0', '11.0', '100g-150g', '2022-04-04']['鲫鱼', '11.5', '12.0', '11.75', '200g-250g', '2022-04-04']['鲫鱼', '12.0', '12.5', '12.25', '350g-400g', '2022-04-04']['胖头鱼', '12.5', '12.5', '12.5', '>2000g', '2022-04-04']['胖头鱼', '12.0', '12.0', '12.0', '<2000g', '2022-04-04']['武昌鱼', '10.0', '10.0', '10.0', '700g左右', '2022-04-04']['鲢鱼', '4.5', '6.0', '5.25', '>1500g', '2022-04-04']['鲢鱼', '4.0', '4.5', '4.25', '1000-1500g', '2022-04-04']['鲶鱼', '4.5', '4.5', '4.5', '养殖', '2022-04-04']['松花鱼', '12.0', '12.0', '12.0', '养殖', '2022-04-04']['黑鱼', '11.0', '13.0', '12.0', '<1500g', '2022-04-04']['黑鱼', '14.0', '16.0', '15.0', '>1500g', '2022-04-04']['黄鳝', '36.0', '36.0', '36.0', '50g-100g', '2022-04-04']['乌鸡蛋', '7.0', '8.0', '7.5', '', '2022-04-04']
['鸵鸟蛋', '100.0', '110.0', '105.0', '', '2022-04-04']
['鸽子蛋', '2.8', '3.0', '2.9', '', '2022-04-04']
['鲤鱼', '6.5', '7.0', '6.75', '750g-1000g', '2022-04-04']
['鲤鱼', '7.0', '7.5', '7.25', '>1000g', '2022-04-04']
['草鱼', '9.0', '9.5', '9.25', '750g-1000g', '2022-04-04']
['草鱼', '9.0', '9.5', '9.25', '1500g左右', '2022-04-04']
['鲫鱼', '11.0', '11.0', '11.0', '100g-150g', '2022-04-04']
['鲫鱼', '11.5', '12.0', '11.75', '200g-250g', '2022-04-04']
['鲫鱼', '12.0', '12.5', '12.25', '350g-400g', '2022-04-04']
['胖头鱼', '12.5', '12.5', '12.5', '>2000g', '2022-04-04']
['胖头鱼', '12.0', '12.0', '12.0', '<2000g', '2022-04-04']
['武昌鱼', '10.0', '10.0', '10.0', '700g左右', '2022-04-04']
['鲢鱼', '4.5', '6.0', '5.25', '>1500g', '2022-04-04']
['鲢鱼', '4.0', '4.5', '4.25', '1000-1500g', '2022-04-04']
['鲶鱼', '4.5', '4.5', '4.5', '养殖', '2022-04-04']
['松花鱼', '12.0', '12.0', '12.0', '养殖', '2022-04-04']
['黑鱼', '11.0', '13.0', '12.0', '<1500g', '2022-04-04']
['黑鱼', '14.0', '16.0', '15.0', '>1500g', '2022-04-04']
['黄鳝', '36.0', '36.0', '36.0', '50g-100g', '2022-04-04']
['乌鸡蛋', '7.0', '8.0', '7.5', '', '2022-04-04']
['鸵鸟蛋', '100.0', '110.0', '105.0', '', '2022-04-04']
['鸽子蛋', '2.8', '3.0', '2.9', '', '2022-04-04']
['鲤鱼', '6.5', '7.0', '6.75', '750g-1000g', '2022-04-04']
['鲤鱼', '7.0', '7.5', '7.25', '>1000g', '2022-04-04']
['草鱼', '9.0', '9.5', '9.25', '750g-1000g', '2022-04-04']
['草鱼', '9.0', '9.5', '9.25', '1500g左右', '2022-04-04']
['鲫鱼', '11.0', '11.0', '11.0', '100g-150g', '2022-04-04']
['鲫鱼', '11.5', '12.0', '11.75', '200g-250g', '2022-04-04']
['鲫鱼', '12.0', '12.5', '12.25', '350g-400g', '2022-04-04']
['胖头鱼', '12.5', '12.5', '12.5', '>2000g', '2022-04-04']
['胖头鱼', '12.0', '12.0', '12.0', '<2000g', '2022-04-04']
['武昌鱼', '10.0', '10.0', '10.0', '700g左右', '2022-04-04']
['鲢鱼', '4.5', '6.0', '5.25', '>1500g', '2022-04-04']
['鲢鱼', '4.0', '4.5', '4.25', '1000-1500g', '2022-04-04']
['鲶鱼', '4.5', '4.5', '4.5', '养殖', '2022-04-04']
['松花鱼', '12.0', '12.0', '12.0', '养殖', '2022-04-04']
['黑鱼', '11.0', '13.0', '12.0', '<1500g', '2022-04-04']
['黑鱼', '14.0', '16.0', '15.0', '>1500g', '2022-04-04']
['黄鳝', '36.0', '36.0', '36.0', '50g-100g', '2022-04-04']
