['墨鱼', '23.0', '23.0', '23.0', '鲜', '2022-04-04']['黄鳝', '38.0', '38.0', '38.0', '100g-200g', '2022-04-04']['罗非鱼', '10.0', '11.0', '10.5', '活', '2022-04-04']['虹鳟鱼', '25.0', '25.0', '25.0', '活', '2022-04-04']['鲟鱼', '14.0', '15.0', '14.5', '活', '2022-04-04']['青鱼', '12.0', '13.0', '12.5', '活', '2022-04-04']['桂鱼', '35.0', '38.0', '36.5', '标桂', '2022-04-04']['嘎鱼', '18.0', '19.0', '18.5', '>100g', '2022-04-04']['嘎鱼', '21.0', '21.0', '21.0', '<100g', '2022-04-04']['淡水鲈鱼', '18.5', '19.0', '18.75', '活', '2022-04-04']['泥鳅', '14.0', '16.0', '15.0', '活', '2022-04-04']['清江鱼', '15.8', '16.5', '16.15', '活', '2022-04-04']['多宝鱼', '30.0', '30.0', '30.0', '活', '2022-04-04']['平鱼', '6.0', '7.0', '6.5', '80g-100g/冻', '2022-04-04']['平鱼', '13.0', '15.0', '14.0', '120g-130g/冻', '2022-04-04']['平鱼', '22.0', '24.0', '23.0', '150g-200g/冻', '2022-04-04']['平鱼', '36.0', '37.0', '36.5', '250g-300g/冻', '2022-04-04']['鱿鱼', '15.0', '15.0', '15.0', '带头', '2022-04-04']['鱿鱼', '20.0', '20.0', '20.0', '去头', '2022-04-04']['海鲈鱼', '12.0', '12.0', '12.0', '鲜', '2022-04-04']['墨鱼', '23.0', '23.0', '23.0', '鲜', '2022-04-04']['黄鳝', '38.0', '38.0', '38.0', '100g-200g', '2022-04-04']
['罗非鱼', '10.0', '11.0', '10.5', '活', '2022-04-04']
['虹鳟鱼', '25.0', '25.0', '25.0', '活', '2022-04-04']
['鲟鱼', '14.0', '15.0', '14.5', '活', '2022-04-04']
['青鱼', '12.0', '13.0', '12.5', '活', '2022-04-04']
['桂鱼', '35.0', '38.0', '36.5', '标桂', '2022-04-04']
['嘎鱼', '18.0', '19.0', '18.5', '>100g', '2022-04-04']
['嘎鱼', '21.0', '21.0', '21.0', '<100g', '2022-04-04']
['淡水鲈鱼', '18.5', '19.0', '18.75', '活', '2022-04-04']
['泥鳅', '14.0', '16.0', '15.0', '活', '2022-04-04']
['清江鱼', '15.8', '16.5', '16.15', '活', '2022-04-04']
['多宝鱼', '30.0', '30.0', '30.0', '活', '2022-04-04']
['平鱼', '6.0', '7.0', '6.5', '80g-100g/冻', '2022-04-04']
['平鱼', '13.0', '15.0', '14.0', '120g-130g/冻', '2022-04-04']
['平鱼', '22.0', '24.0', '23.0', '150g-200g/冻', '2022-04-04']
['平鱼', '36.0', '37.0', '36.5', '250g-300g/冻', '2022-04-04']
['鱿鱼', '15.0', '15.0', '15.0', '带头', '2022-04-04']
['鱿鱼', '20.0', '20.0', '20.0', '去头', '2022-04-04']
['海鲈鱼', '12.0', '12.0', '12.0', '鲜', '2022-04-04']
['墨鱼', '23.0', '23.0', '23.0', '鲜', '2022-04-04']
['黄鳝', '38.0', '38.0', '38.0', '100g-200g', '2022-04-04']
['罗非鱼', '10.0', '11.0', '10.5', '活', '2022-04-04']
['虹鳟鱼', '25.0', '25.0', '25.0', '活', '2022-04-04']
['鲟鱼', '14.0', '15.0', '14.5', '活', '2022-04-04']
['青鱼', '12.0', '13.0', '12.5', '活', '2022-04-04']
['桂鱼', '35.0', '38.0', '36.5', '标桂', '2022-04-04']
['嘎鱼', '18.0', '19.0', '18.5', '>100g', '2022-04-04']
['嘎鱼', '21.0', '21.0', '21.0', '<100g', '2022-04-04']
['淡水鲈鱼', '18.5', '19.0', '18.75', '活', '2022-04-04']
['泥鳅', '14.0', '16.0', '15.0', '活', '2022-04-04']
['清江鱼', '15.8', '16.5', '16.15', '活', '2022-04-04']
['多宝鱼', '30.0', '30.0', '30.0', '活', '2022-04-04']
['平鱼', '6.0', '7.0', '6.5', '80g-100g/冻', '2022-04-04']
['平鱼', '13.0', '15.0', '14.0', '120g-130g/冻', '2022-04-04']
['平鱼', '22.0', '24.0', '23.0', '150g-200g/冻', '2022-04-04']
['平鱼', '36.0', '37.0', '36.5', '250g-300g/冻', '2022-04-04']
['鱿鱼', '15.0', '15.0', '15.0', '带头', '2022-04-04']
['鱿鱼', '20.0', '20.0', '20.0', '去头', '2022-04-04']
['海鲈鱼', '12.0', '12.0', '12.0', '鲜', '2022-04-04']
['墨鱼', '23.0', '23.0', '23.0', '鲜', '2022-04-04']
