['带子', '16.0', '16.0', '16.0', '活', '2022-04-04']['金鲳鱼', '16.0', '16.0', '16.0', '400g-500g', '2022-04-04']['金鲳鱼', '17.0', '17.0', '17.0', '500g-650g', '2022-04-04']['白虾（笼装）', '52.5', '54.5', '53.5', '17-22头', '2022-04-04']['白虾（笼装）', '50.0', '52.0', '51.0', '26-30头', '2022-04-04']['小龙虾', '18.0', '30.0', '24.0', '活', '2022-04-04']['鲍鱼', '11.0', '12.0', '11.5', '6-7头', '2022-04-04']['鲍鱼', '7.0', '9.0', '8.0', '8-9头', '2022-04-04']['鲍鱼', '5.0', '6.0', '5.5', '10-12头', '2022-04-04']['扇贝', '48.0', '48.0', '48.0', '>16cm/活', '2022-04-04']['扇贝', '28.0', '30.0', '29.0', '10-12cm/活', '2022-04-04']['扇贝', '28.0', '28.0', '28.0', '7-9cm/活', '2022-04-04']['小红扇贝', '4.0', '4.0', '4.0', '活', '2022-04-04']['钉螺', '7.0', '8.0', '7.5', '活', '2022-04-04']['海螺', '19.0', '21.0', '20.0', '活（小）', '2022-04-04']['海螺', '24.0', '28.0', '26.0', '活（中）', '2022-04-04']['海螺', '34.0', '36.0', '35.0', '活（大）', '2022-04-04']['竹节蛏', '26.0', '27.0', '26.5', '活（中）', '2022-04-04']['蛏子', '15.0', '15.0', '15.0', '活', '2022-04-04']['海虹', '8.0', '8.0', '8.0', '活', '2022-04-04']['带子', '16.0', '16.0', '16.0', '活', '2022-04-04']['金鲳鱼', '16.0', '16.0', '16.0', '400g-500g', '2022-04-04']
['金鲳鱼', '17.0', '17.0', '17.0', '500g-650g', '2022-04-04']
['白虾（笼装）', '52.5', '54.5', '53.5', '17-22头', '2022-04-04']
['白虾（笼装）', '50.0', '52.0', '51.0', '26-30头', '2022-04-04']
['小龙虾', '18.0', '30.0', '24.0', '活', '2022-04-04']
['鲍鱼', '11.0', '12.0', '11.5', '6-7头', '2022-04-04']
['鲍鱼', '7.0', '9.0', '8.0', '8-9头', '2022-04-04']
['鲍鱼', '5.0', '6.0', '5.5', '10-12头', '2022-04-04']
['扇贝', '48.0', '48.0', '48.0', '>16cm/活', '2022-04-04']
['扇贝', '28.0', '30.0', '29.0', '10-12cm/活', '2022-04-04']
['扇贝', '28.0', '28.0', '28.0', '7-9cm/活', '2022-04-04']
['小红扇贝', '4.0', '4.0', '4.0', '活', '2022-04-04']
['钉螺', '7.0', '8.0', '7.5', '活', '2022-04-04']
['海螺', '19.0', '21.0', '20.0', '活（小）', '2022-04-04']
['海螺', '24.0', '28.0', '26.0', '活（中）', '2022-04-04']
['海螺', '34.0', '36.0', '35.0', '活（大）', '2022-04-04']
['竹节蛏', '26.0', '27.0', '26.5', '活（中）', '2022-04-04']
['蛏子', '15.0', '15.0', '15.0', '活', '2022-04-04']
['海虹', '8.0', '8.0', '8.0', '活', '2022-04-04']
['带子', '16.0', '16.0', '16.0', '活', '2022-04-04']
['金鲳鱼', '16.0', '16.0', '16.0', '400g-500g', '2022-04-04']
['金鲳鱼', '17.0', '17.0', '17.0', '500g-650g', '2022-04-04']
['白虾（笼装）', '52.5', '54.5', '53.5', '17-22头', '2022-04-04']
['白虾（笼装）', '50.0', '52.0', '51.0', '26-30头', '2022-04-04']
['小龙虾', '18.0', '30.0', '24.0', '活', '2022-04-04']
['鲍鱼', '11.0', '12.0', '11.5', '6-7头', '2022-04-04']
['鲍鱼', '7.0', '9.0', '8.0', '8-9头', '2022-04-04']
['鲍鱼', '5.0', '6.0', '5.5', '10-12头', '2022-04-04']
['扇贝', '48.0', '48.0', '48.0', '>16cm/活', '2022-04-04']
['扇贝', '28.0', '30.0', '29.0', '10-12cm/活', '2022-04-04']
['扇贝', '28.0', '28.0', '28.0', '7-9cm/活', '2022-04-04']
['小红扇贝', '4.0', '4.0', '4.0', '活', '2022-04-04']
['钉螺', '7.0', '8.0', '7.5', '活', '2022-04-04']
['海螺', '19.0', '21.0', '20.0', '活（小）', '2022-04-04']
['海螺', '24.0', '28.0', '26.0', '活（中）', '2022-04-04']
['海螺', '34.0', '36.0', '35.0', '活（大）', '2022-04-04']
['竹节蛏', '26.0', '27.0', '26.5', '活（中）', '2022-04-04']
['蛏子', '15.0', '15.0', '15.0', '活', '2022-04-04']
['海虹', '8.0', '8.0', '8.0', '活', '2022-04-04']
['带子', '16.0', '16.0', '16.0', '活', '2022-04-04']
