['扁豆', '3.6', '5.3', '4.45', '精选', '2022-04-04']['散菜花', '2.5', '3.8', '3.15', '', '2022-04-04']['绿菜花', '2.5', '3.0', '2.75', '', '2022-04-04']['绿豆芽', '0.95', '1.0', '0.98', '', '2022-04-04']['黄豆芽', '0.85', '0.9', '0.88', '', '2022-04-04']['番茄', '2.2', '3.5', '2.85', '黑框', '2022-04-04']['番茄', '3.5', '4.0', '3.75', '泡沫箱', '2022-04-04']['番茄', '4.0', '4.3', '4.15', '白框', '2022-04-04']['黄瓜', '1.6', '2.8', '2.2', '袋\\箱', '2022-04-04']['黄瓜', '3.0', '4.2', '3.6', '鲜干花', '2022-04-04']['小黄瓜', '3.5', '5.0', '4.25', '旱\\荷兰', '2022-04-04']['茄子', '1.6', '3.5', '2.55', '精选', '2022-04-04']['长茄', '2.0', '4.0', '3.0', '精选', '2022-04-04']['广茄', '3.5', '5.0', '4.25', '', '2022-04-04']['线茄', '2.5', '7.0', '4.75', '精选', '2022-04-04']['冬瓜', '2.6', '2.7', '2.65', '吊', '2022-04-04']['冬瓜', '2.3', '2.5', '2.4', '地', '2022-04-04']['毛冬瓜', '2.8', '3.6', '3.2', '长条', '2022-04-04']['架豆', '3.5', '6.0', '4.75', '', '2022-04-04']['豆王', '3.8', '6.3', '5.05', '精选', '2022-04-04']['扁豆', '3.6', '5.3', '4.45', '精选', '2022-04-04']['散菜花', '2.5', '3.8', '3.15', '', '2022-04-04']
['绿菜花', '2.5', '3.0', '2.75', '', '2022-04-04']
['绿豆芽', '0.95', '1.0', '0.98', '', '2022-04-04']
['黄豆芽', '0.85', '0.9', '0.88', '', '2022-04-04']
['番茄', '2.2', '3.5', '2.85', '黑框', '2022-04-04']
['番茄', '3.5', '4.0', '3.75', '泡沫箱', '2022-04-04']
['番茄', '4.0', '4.3', '4.15', '白框', '2022-04-04']
['黄瓜', '1.6', '2.8', '2.2', '袋\\箱', '2022-04-04']
['黄瓜', '3.0', '4.2', '3.6', '鲜干花', '2022-04-04']
['小黄瓜', '3.5', '5.0', '4.25', '旱\\荷兰', '2022-04-04']
['茄子', '1.6', '3.5', '2.55', '精选', '2022-04-04']
['长茄', '2.0', '4.0', '3.0', '精选', '2022-04-04']
['广茄', '3.5', '5.0', '4.25', '', '2022-04-04']
['线茄', '2.5', '7.0', '4.75', '精选', '2022-04-04']
['冬瓜', '2.6', '2.7', '2.65', '吊', '2022-04-04']
['冬瓜', '2.3', '2.5', '2.4', '地', '2022-04-04']
['毛冬瓜', '2.8', '3.6', '3.2', '长条', '2022-04-04']
['架豆', '3.5', '6.0', '4.75', '', '2022-04-04']
['豆王', '3.8', '6.3', '5.05', '精选', '2022-04-04']
['扁豆', '3.6', '5.3', '4.45', '精选', '2022-04-04']
['散菜花', '2.5', '3.8', '3.15', '', '2022-04-04']
['绿菜花', '2.5', '3.0', '2.75', '', '2022-04-04']
['绿豆芽', '0.95', '1.0', '0.98', '', '2022-04-04']
['黄豆芽', '0.85', '0.9', '0.88', '', '2022-04-04']
['番茄', '2.2', '3.5', '2.85', '黑框', '2022-04-04']
['番茄', '3.5', '4.0', '3.75', '泡沫箱', '2022-04-04']
['番茄', '4.0', '4.3', '4.15', '白框', '2022-04-04']
['黄瓜', '1.6', '2.8', '2.2', '袋\\箱', '2022-04-04']
['黄瓜', '3.0', '4.2', '3.6', '鲜干花', '2022-04-04']
['小黄瓜', '3.5', '5.0', '4.25', '旱\\荷兰', '2022-04-04']
['茄子', '1.6', '3.5', '2.55', '精选', '2022-04-04']
['长茄', '2.0', '4.0', '3.0', '精选', '2022-04-04']
['广茄', '3.5', '5.0', '4.25', '', '2022-04-04']
['线茄', '2.5', '7.0', '4.75', '精选', '2022-04-04']
['冬瓜', '2.6', '2.7', '2.65', '吊', '2022-04-04']
['冬瓜', '2.3', '2.5', '2.4', '地', '2022-04-04']
['毛冬瓜', '2.8', '3.6', '3.2', '长条', '2022-04-04']
['架豆', '3.5', '6.0', '4.75', '', '2022-04-04']
['豆王', '3.8', '6.3', '5.05', '精选', '2022-04-04']
['扁豆', '3.6', '5.3', '4.45', '精选', '2022-04-04']
