['紫薯', '3.0', '3.5', '3.25', '', '2022-04-04']['杭椒', '7.5', '8.0', '7.75', '', '2022-04-04']['小米椒', '37.0', '38.0', '37.5', '', '2022-04-04']['彩椒', '9.5', '10.0', '9.75', '红\\黄', '2022-04-04']['白萝卜', '0.5', '0.8', '0.65', '', '2022-04-04']['心里美', '1.4', '1.7', '1.55', '泥\\洗', '2022-04-04']['卞萝卜', '1.5', '1.6', '1.55', '洗', '2022-04-04']['青萝卜', '2.4', '2.5', '2.45', '洗', '2022-04-04']['青萝卜', '0.8', '1.4', '1.1', '洗', '2022-04-04']['胡萝卜', '0.8', '1.2', '1.0', '泥', '2022-04-04']['胡萝卜', '1.0', '1.3', '1.15', '洗', '2022-04-04']['土豆', '0.9', '1.2', '1.05', '', '2022-04-04']['土豆', '1.7', '2.2', '1.95', '新', '2022-04-04']['葱头', '1.4', '1.6', '1.5', '黄', '2022-04-04']['葱头', '1.4', '1.6', '1.5', '红', '2022-04-04']['山药', '3.5', '4.3', '3.9', '脆\\麻新', '2022-04-04']['山药', '4.8', '7.5', '6.15', '铁棍', '2022-04-04']['莲藕', '3.5', '4.0', '3.75', '泥\\洗', '2022-04-04']['红薯', '2.2', '2.5', '2.35', '龙薯九', '2022-04-04']['红薯', '3.0', '3.5', '3.25', '西瓜红', '2022-04-04']['紫薯', '3.0', '3.5', '3.25', '', '2022-04-04']['杭椒', '7.5', '8.0', '7.75', '', '2022-04-04']
['小米椒', '37.0', '38.0', '37.5', '', '2022-04-04']
['彩椒', '9.5', '10.0', '9.75', '红\\黄', '2022-04-04']
['白萝卜', '0.5', '0.8', '0.65', '', '2022-04-04']
['心里美', '1.4', '1.7', '1.55', '泥\\洗', '2022-04-04']
['卞萝卜', '1.5', '1.6', '1.55', '洗', '2022-04-04']
['青萝卜', '2.4', '2.5', '2.45', '洗', '2022-04-04']
['青萝卜', '0.8', '1.4', '1.1', '洗', '2022-04-04']
['胡萝卜', '0.8', '1.2', '1.0', '泥', '2022-04-04']
['胡萝卜', '1.0', '1.3', '1.15', '洗', '2022-04-04']
['土豆', '0.9', '1.2', '1.05', '', '2022-04-04']
['土豆', '1.7', '2.2', '1.95', '新', '2022-04-04']
['葱头', '1.4', '1.6', '1.5', '黄', '2022-04-04']
['葱头', '1.4', '1.6', '1.5', '红', '2022-04-04']
['山药', '3.5', '4.3', '3.9', '脆\\麻新', '2022-04-04']
['山药', '4.8', '7.5', '6.15', '铁棍', '2022-04-04']
['莲藕', '3.5', '4.0', '3.75', '泥\\洗', '2022-04-04']
['红薯', '2.2', '2.5', '2.35', '龙薯九', '2022-04-04']
['红薯', '3.0', '3.5', '3.25', '西瓜红', '2022-04-04']
['紫薯', '3.0', '3.5', '3.25', '', '2022-04-04']
['杭椒', '7.5', '8.0', '7.75', '', '2022-04-04']
['小米椒', '37.0', '38.0', '37.5', '', '2022-04-04']
['彩椒', '9.5', '10.0', '9.75', '红\\黄', '2022-04-04']
['白萝卜', '0.5', '0.8', '0.65', '', '2022-04-04']
['心里美', '1.4', '1.7', '1.55', '泥\\洗', '2022-04-04']
['卞萝卜', '1.5', '1.6', '1.55', '洗', '2022-04-04']
['青萝卜', '2.4', '2.5', '2.45', '洗', '2022-04-04']
['青萝卜', '0.8', '1.4', '1.1', '洗', '2022-04-04']
['胡萝卜', '0.8', '1.2', '1.0', '泥', '2022-04-04']
['胡萝卜', '1.0', '1.3', '1.15', '洗', '2022-04-04']
['土豆', '0.9', '1.2', '1.05', '', '2022-04-04']
['土豆', '1.7', '2.2', '1.95', '新', '2022-04-04']
['葱头', '1.4', '1.6', '1.5', '黄', '2022-04-04']
['葱头', '1.4', '1.6', '1.5', '红', '2022-04-04']
['山药', '3.5', '4.3', '3.9', '脆\\麻新', '2022-04-04']
['山药', '4.8', '7.5', '6.15', '铁棍', '2022-04-04']
['莲藕', '3.5', '4.0', '3.75', '泥\\洗', '2022-04-04']
['红薯', '2.2', '2.5', '2.35', '龙薯九', '2022-04-04']
['红薯', '3.0', '3.5', '3.25', '西瓜红', '2022-04-04']
['紫薯', '3.0', '3.5', '3.25', '', '2022-04-04']
