['小白菜', '2.3', '3.0', '2.65', '', '2022-04-04']['茭白', '3.0', '5.0', '4.0', '', '2022-04-04']['荸荠', '2.0', '3.0', '2.5', '', '2022-04-04']['芋头', '2.0', '2.6', '2.3', '', '2022-04-04']['姜', '1.0', '3.0', '2.0', '姜头\\整', '2022-04-04']['大蒜', '2.5', '3.5', '3.0', '老', '2022-04-04']['大蒜', '3.0', '3.8', '3.4', '新', '2022-04-04']['蒜米', '2.5', '3.2', '2.85', '机剥\\手工', '2022-04-04']['大葱', '3.2', '3.8', '3.5', '', '2022-04-04']['小葱', '3.0', '3.8', '3.4', '', '2022-04-04']['蒜苗', '3.0', '6.0', '4.5', '', '2022-04-04']['蒜黄', '3.0', '4.0', '3.5', '', '2022-04-04']['青蒜', '1.5', '2.0', '1.75', '', '2022-04-04']['平菇', '3.5', '5.0', '4.25', '小叶', '2022-04-04']['香菇', '3.5', '5.5', '4.5', '', '2022-04-04']['白玉菇', '3.0', '4.0', '3.5', '', '2022-04-04']['口蘑', '7.0', '8.0', '7.5', '', '2022-04-04']['杏鲍菇', '3.0', '3.5', '3.25', '', '2022-04-04']['金针菇', '3.0', '3.5', '3.25', '', '2022-04-04']['油菜', '2.5', '3.0', '2.75', '', '2022-04-04']['小白菜', '2.3', '3.0', '2.65', '', '2022-04-04']['茭白', '3.0', '5.0', '4.0', '', '2022-04-04']
['荸荠', '2.0', '3.0', '2.5', '', '2022-04-04']
['芋头', '2.0', '2.6', '2.3', '', '2022-04-04']
['姜', '1.0', '3.0', '2.0', '姜头\\整', '2022-04-04']
['大蒜', '2.5', '3.5', '3.0', '老', '2022-04-04']
['大蒜', '3.0', '3.8', '3.4', '新', '2022-04-04']
['蒜米', '2.5', '3.2', '2.85', '机剥\\手工', '2022-04-04']
['大葱', '3.2', '3.8', '3.5', '', '2022-04-04']
['小葱', '3.0', '3.8', '3.4', '', '2022-04-04']
['蒜苗', '3.0', '6.0', '4.5', '', '2022-04-04']
['蒜黄', '3.0', '4.0', '3.5', '', '2022-04-04']
['青蒜', '1.5', '2.0', '1.75', '', '2022-04-04']
['平菇', '3.5', '5.0', '4.25', '小叶', '2022-04-04']
['香菇', '3.5', '5.5', '4.5', '', '2022-04-04']
['白玉菇', '3.0', '4.0', '3.5', '', '2022-04-04']
['口蘑', '7.0', '8.0', '7.5', '', '2022-04-04']
['杏鲍菇', '3.0', '3.5', '3.25', '', '2022-04-04']
['金针菇', '3.0', '3.5', '3.25', '', '2022-04-04']
['油菜', '2.5', '3.0', '2.75', '', '2022-04-04']
['小白菜', '2.3', '3.0', '2.65', '', '2022-04-04']
['茭白', '3.0', '5.0', '4.0', '', '2022-04-04']
['荸荠', '2.0', '3.0', '2.5', '', '2022-04-04']
['芋头', '2.0', '2.6', '2.3', '', '2022-04-04']
['姜', '1.0', '3.0', '2.0', '姜头\\整', '2022-04-04']
['大蒜', '2.5', '3.5', '3.0', '老', '2022-04-04']
['大蒜', '3.0', '3.8', '3.4', '新', '2022-04-04']
['蒜米', '2.5', '3.2', '2.85', '机剥\\手工', '2022-04-04']
['大葱', '3.2', '3.8', '3.5', '', '2022-04-04']
['小葱', '3.0', '3.8', '3.4', '', '2022-04-04']
['蒜苗', '3.0', '6.0', '4.5', '', '2022-04-04']
['蒜黄', '3.0', '4.0', '3.5', '', '2022-04-04']
['青蒜', '1.5', '2.0', '1.75', '', '2022-04-04']
['平菇', '3.5', '5.0', '4.25', '小叶', '2022-04-04']
['香菇', '3.5', '5.5', '4.5', '', '2022-04-04']
['白玉菇', '3.0', '4.0', '3.5', '', '2022-04-04']
['口蘑', '7.0', '8.0', '7.5', '', '2022-04-04']
['杏鲍菇', '3.0', '3.5', '3.25', '', '2022-04-04']
['金针菇', '3.0', '3.5', '3.25', '', '2022-04-04']
['油菜', '2.5', '3.0', '2.75', '', '2022-04-04']
['小白菜', '2.3', '3.0', '2.65', '', '2022-04-04']
