['荠菜', '6.0', '8.0', '7.0', '', '2022-04-04']['油麦菜', '2.0', '2.5', '2.25', '', '2022-04-04']['奶白菜', '2.5', '3.5', '3.0', '', '2022-04-04']['散生菜', '2.5', '3.0', '2.75', '', '2022-04-04']['香葱', '2.0', '3.0', '2.5', '', '2022-04-04']['茼蒿', '6.0', '6.5', '6.25', '', '2022-04-04']['蒿子秆', '2.5', '3.5', '3.0', '', '2022-04-04']['水萝卜', '3.0', '3.5', '3.25', '', '2022-04-04']['樱桃萝卜', '2.5', '3.0', '2.75', '', '2022-04-04']['香芹', '3.5', '4.0', '3.75', '', '2022-04-04']['菠菜', '3.5', '4.0', '3.75', '', '2022-04-04']['苋菜', '7.0', '8.0', '7.5', '', '2022-04-04']['菊花菜', '2.5', '3.0', '2.75', '', '2022-04-04']['黄心菜', '5.0', '6.0', '5.5', '', '2022-04-04']['青蒜', '3.0', '3.5', '3.25', '', '2022-04-04']['盖菜', '2.0', '2.5', '2.25', '', '2022-04-04']['芥兰', '3.0', '3.5', '3.25', '', '2022-04-04']['菜心', '3.5', '4.5', '4.0', '', '2022-04-04']['空心菜', '6.0', '7.0', '6.5', '', '2022-04-04']['鸡毛菜', '4.0', '5.0', '4.5', '', '2022-04-04']['荠菜', '6.0', '8.0', '7.0', '', '2022-04-04']['油麦菜', '2.0', '2.5', '2.25', '', '2022-04-04']
['奶白菜', '2.5', '3.5', '3.0', '', '2022-04-04']
['散生菜', '2.5', '3.0', '2.75', '', '2022-04-04']
['香葱', '2.0', '3.0', '2.5', '', '2022-04-04']
['茼蒿', '6.0', '6.5', '6.25', '', '2022-04-04']
['蒿子秆', '2.5', '3.5', '3.0', '', '2022-04-04']
['水萝卜', '3.0', '3.5', '3.25', '', '2022-04-04']
['樱桃萝卜', '2.5', '3.0', '2.75', '', '2022-04-04']
['香芹', '3.5', '4.0', '3.75', '', '2022-04-04']
['菠菜', '3.5', '4.0', '3.75', '', '2022-04-04']
['苋菜', '7.0', '8.0', '7.5', '', '2022-04-04']
['菊花菜', '2.5', '3.0', '2.75', '', '2022-04-04']
['黄心菜', '5.0', '6.0', '5.5', '', '2022-04-04']
['青蒜', '3.0', '3.5', '3.25', '', '2022-04-04']
['盖菜', '2.0', '2.5', '2.25', '', '2022-04-04']
['芥兰', '3.0', '3.5', '3.25', '', '2022-04-04']
['菜心', '3.5', '4.5', '4.0', '', '2022-04-04']
['空心菜', '6.0', '7.0', '6.5', '', '2022-04-04']
['鸡毛菜', '4.0', '5.0', '4.5', '', '2022-04-04']
['荠菜', '6.0', '8.0', '7.0', '', '2022-04-04']
['油麦菜', '2.0', '2.5', '2.25', '', '2022-04-04']
['奶白菜', '2.5', '3.5', '3.0', '', '2022-04-04']
['散生菜', '2.5', '3.0', '2.75', '', '2022-04-04']
['香葱', '2.0', '3.0', '2.5', '', '2022-04-04']
['茼蒿', '6.0', '6.5', '6.25', '', '2022-04-04']
['蒿子秆', '2.5', '3.5', '3.0', '', '2022-04-04']
['水萝卜', '3.0', '3.5', '3.25', '', '2022-04-04']
['樱桃萝卜', '2.5', '3.0', '2.75', '', '2022-04-04']
['香芹', '3.5', '4.0', '3.75', '', '2022-04-04']
['菠菜', '3.5', '4.0', '3.75', '', '2022-04-04']
['苋菜', '7.0', '8.0', '7.5', '', '2022-04-04']
['菊花菜', '2.5', '3.0', '2.75', '', '2022-04-04']
['黄心菜', '5.0', '6.0', '5.5', '', '2022-04-04']
['青蒜', '3.0', '3.5', '3.25', '', '2022-04-04']
['盖菜', '2.0', '2.5', '2.25', '', '2022-04-04']
['芥兰', '3.0', '3.5', '3.25', '', '2022-04-04']
['菜心', '3.5', '4.5', '4.0', '', '2022-04-04']
['空心菜', '6.0', '7.0', '6.5', '', '2022-04-04']
['鸡毛菜', '4.0', '5.0', '4.5', '', '2022-04-04']
['荠菜', '6.0', '8.0', '7.0', '', '2022-04-04']
