['火龙果', '5.2', '8.0', '6.6', '红', '2022-04-04']['荆芥', '6.0', '7.0', '6.5', '', '2022-04-04']['紫苏叶', '7.0', '7.5', '7.25', '', '2022-04-04']['豌豆苗', '4.5', '5.0', '4.75', '', '2022-04-04']['快菜', '2.2', '2.8', '2.5', '', '2022-04-04']['苦菊', '4.0', '4.5', '4.25', '', '2022-04-04']['穿心莲', '1.5', '2.0', '1.75', '', '2022-04-04']['木耳菜', '6.0', '7.0', '6.5', '', '2022-04-04']['椰青', '6.0', '7.0', '6.5', '', '2022-04-04']['菠萝', '2.2', '2.6', '2.4', '箱装（上六下六）', '2022-04-04']['香水菠萝', '3.0', '3.5', '3.25', '', '2022-04-04']['圣女果', '5.8', '8.5', '7.15', '千禧', '2022-04-04']['百香果', '14.0', '14.5', '14.25', '', '2022-04-04']['桑葚', '6.0', '8.0', '7.0', '', '2022-04-04']['黑枣', '6.0', '12.0', '9.0', '', '2022-04-04']['白草莓', '9.0', '50.0', '29.5', '日本淡雪', '2022-04-04']['九九草莓', '9.0', '16.0', '12.5', '', '2022-04-04']['甜宝草莓', '4.5', '10.0', '7.25', '奶油', '2022-04-04']['红颜草莓', '4.0', '9.0', '6.5', '', '2022-04-04']['蓝莓', '55.0', '70.0', '62.5', '', '2022-04-04']['火龙果', '5.2', '8.0', '6.6', '红', '2022-04-04']['荆芥', '6.0', '7.0', '6.5', '', '2022-04-04']
['紫苏叶', '7.0', '7.5', '7.25', '', '2022-04-04']
['豌豆苗', '4.5', '5.0', '4.75', '', '2022-04-04']
['快菜', '2.2', '2.8', '2.5', '', '2022-04-04']
['苦菊', '4.0', '4.5', '4.25', '', '2022-04-04']
['穿心莲', '1.5', '2.0', '1.75', '', '2022-04-04']
['木耳菜', '6.0', '7.0', '6.5', '', '2022-04-04']
['椰青', '6.0', '7.0', '6.5', '', '2022-04-04']
['菠萝', '2.2', '2.6', '2.4', '箱装（上六下六）', '2022-04-04']
['香水菠萝', '3.0', '3.5', '3.25', '', '2022-04-04']
['圣女果', '5.8', '8.5', '7.15', '千禧', '2022-04-04']
['百香果', '14.0', '14.5', '14.25', '', '2022-04-04']
['桑葚', '6.0', '8.0', '7.0', '', '2022-04-04']
['黑枣', '6.0', '12.0', '9.0', '', '2022-04-04']
['白草莓', '9.0', '50.0', '29.5', '日本淡雪', '2022-04-04']
['九九草莓', '9.0', '16.0', '12.5', '', '2022-04-04']
['甜宝草莓', '4.5', '10.0', '7.25', '奶油', '2022-04-04']
['红颜草莓', '4.0', '9.0', '6.5', '', '2022-04-04']
['蓝莓', '55.0', '70.0', '62.5', '', '2022-04-04']
['火龙果', '5.2', '8.0', '6.6', '红', '2022-04-04']
['荆芥', '6.0', '7.0', '6.5', '', '2022-04-04']
['紫苏叶', '7.0', '7.5', '7.25', '', '2022-04-04']
['豌豆苗', '4.5', '5.0', '4.75', '', '2022-04-04']
['快菜', '2.2', '2.8', '2.5', '', '2022-04-04']
['苦菊', '4.0', '4.5', '4.25', '', '2022-04-04']
['穿心莲', '1.5', '2.0', '1.75', '', '2022-04-04']
['木耳菜', '6.0', '7.0', '6.5', '', '2022-04-04']
['椰青', '6.0', '7.0', '6.5', '', '2022-04-04']
['菠萝', '2.2', '2.6', '2.4', '箱装（上六下六）', '2022-04-04']
['香水菠萝', '3.0', '3.5', '3.25', '', '2022-04-04']
['圣女果', '5.8', '8.5', '7.15', '千禧', '2022-04-04']
['百香果', '14.0', '14.5', '14.25', '', '2022-04-04']
['桑葚', '6.0', '8.0', '7.0', '', '2022-04-04']
['黑枣', '6.0', '12.0', '9.0', '', '2022-04-04']
['白草莓', '9.0', '50.0', '29.5', '日本淡雪', '2022-04-04']
['九九草莓', '9.0', '16.0', '12.5', '', '2022-04-04']
['甜宝草莓', '4.5', '10.0', '7.25', '奶油', '2022-04-04']
['红颜草莓', '4.0', '9.0', '6.5', '', '2022-04-04']
['蓝莓', '55.0', '70.0', '62.5', '', '2022-04-04']
['火龙果', '5.2', '8.0', '6.6', '红', '2022-04-04']
