['砂糖橘', '1.5', '4.0', '2.75', '', '2022-04-04']['火龙果', '4.0', '5.5', '4.75', '白', '2022-04-04']['板栗', '2.6', '3.5', '3.05', '', '2022-04-04']['油栗', '6.0', '10.0', '8.0', '', '2022-04-04']['木瓜', '4.0', '4.5', '4.25', '', '2022-04-04']['柿饼', '6.0', '12.0', '9.0', '', '2022-04-04']['甘蔗', '1.5', '1.6', '1.55', '', '2022-04-04']['柠檬', '4.5', '5.0', '4.75', '', '2022-04-04']['山楂', '3.5', '6.0', '4.75', '', '2022-04-04']['姑娘果（灯笼果）', '10.0', '25.0', '17.5', '', '2022-04-04']['鸭梨', '2.2', '2.6', '2.4', '', '2022-04-04']['雪花梨', '2.0', '2.2', '2.1', '', '2022-04-04']['皇冠梨', '3.3', '3.6', '3.45', '纸箱', '2022-04-04']['南果梨', '1.0', '4.0', '2.5', '', '2022-04-04']['丰水梨', '4.0', '4.4', '4.2', '', '2022-04-04']['酥梨', '2.2', '2.5', '2.35', '', '2022-04-04']['库尔勒香梨', '3.0', '4.5', '3.75', '', '2022-04-04']['红香酥梨', '2.4', '2.8', '2.6', '7号', '2022-04-04']['红啤梨', '5.0', '5.5', '5.25', '', '2022-04-04']['京白梨', '1.6', '2.5', '2.05', '', '2022-04-04']['砂糖橘', '1.5', '4.0', '2.75', '', '2022-04-04']['火龙果', '4.0', '5.5', '4.75', '白', '2022-04-04']
['板栗', '2.6', '3.5', '3.05', '', '2022-04-04']
['油栗', '6.0', '10.0', '8.0', '', '2022-04-04']
['木瓜', '4.0', '4.5', '4.25', '', '2022-04-04']
['柿饼', '6.0', '12.0', '9.0', '', '2022-04-04']
['甘蔗', '1.5', '1.6', '1.55', '', '2022-04-04']
['柠檬', '4.5', '5.0', '4.75', '', '2022-04-04']
['山楂', '3.5', '6.0', '4.75', '', '2022-04-04']
['姑娘果（灯笼果）', '10.0', '25.0', '17.5', '', '2022-04-04']
['鸭梨', '2.2', '2.6', '2.4', '', '2022-04-04']
['雪花梨', '2.0', '2.2', '2.1', '', '2022-04-04']
['皇冠梨', '3.3', '3.6', '3.45', '纸箱', '2022-04-04']
['南果梨', '1.0', '4.0', '2.5', '', '2022-04-04']
['丰水梨', '4.0', '4.4', '4.2', '', '2022-04-04']
['酥梨', '2.2', '2.5', '2.35', '', '2022-04-04']
['库尔勒香梨', '3.0', '4.5', '3.75', '', '2022-04-04']
['红香酥梨', '2.4', '2.8', '2.6', '7号', '2022-04-04']
['红啤梨', '5.0', '5.5', '5.25', '', '2022-04-04']
['京白梨', '1.6', '2.5', '2.05', '', '2022-04-04']
['砂糖橘', '1.5', '4.0', '2.75', '', '2022-04-04']
['火龙果', '4.0', '5.5', '4.75', '白', '2022-04-04']
['板栗', '2.6', '3.5', '3.05', '', '2022-04-04']
['油栗', '6.0', '10.0', '8.0', '', '2022-04-04']
['木瓜', '4.0', '4.5', '4.25', '', '2022-04-04']
['柿饼', '6.0', '12.0', '9.0', '', '2022-04-04']
['甘蔗', '1.5', '1.6', '1.55', '', '2022-04-04']
['柠檬', '4.5', '5.0', '4.75', '', '2022-04-04']
['山楂', '3.5', '6.0', '4.75', '', '2022-04-04']
['姑娘果（灯笼果）', '10.0', '25.0', '17.5', '', '2022-04-04']
['鸭梨', '2.2', '2.6', '2.4', '', '2022-04-04']
['雪花梨', '2.0', '2.2', '2.1', '', '2022-04-04']
['皇冠梨', '3.3', '3.6', '3.45', '纸箱', '2022-04-04']
['南果梨', '1.0', '4.0', '2.5', '', '2022-04-04']
['丰水梨', '4.0', '4.4', '4.2', '', '2022-04-04']
['酥梨', '2.2', '2.5', '2.35', '', '2022-04-04']
['库尔勒香梨', '3.0', '4.5', '3.75', '', '2022-04-04']
['红香酥梨', '2.4', '2.8', '2.6', '7号', '2022-04-04']
['红啤梨', '5.0', '5.5', '5.25', '', '2022-04-04']
['京白梨', '1.6', '2.5', '2.05', '', '2022-04-04']
['砂糖橘', '1.5', '4.0', '2.75', '', '2022-04-04']
