['南美、菲律宾香蕉', '3.8', '4.3', '4.05', '', '2022-04-04']['耙耙柑', '3.2', '6.2', '4.7', '春见', '2022-04-04']['鄂、湘、川脐橙', '2.1', '3.8', '2.95', '', '2022-04-04']['血橙/二月红/中华红', '1.5', '3.5', '2.5', '', '2022-04-04']['沃柑', '3.0', '5.0', '4.0', '贵妃柑', '2022-04-04']['黄果柑', '1.8', '2.0', '1.9', '', '2022-04-04']['冰糖橙', '1.3', '3.5', '2.4', '', '2022-04-04']['芦柑', '1.2', '2.6', '1.9', '', '2022-04-04']['金桔', '2.5', '6.6', '4.55', '', '2022-04-04']['油桃', '7.0', '11.0', '9.0', '', '2022-04-04']['黄油桃', '10.0', '12.0', '11.0', '', '2022-04-04']['春雪', '11.0', '18.0', '14.5', '', '2022-04-04']['猕猴桃', '3.3', '4.0', '3.65', '徐香', '2022-04-04']['猕猴桃', '2.2', '3.0', '2.6', '海沃德', '2022-04-04']['无籽小号-大号', '3.6', '3.8', '3.7', '', '2022-04-04']['麒麟、甜蜜蜜', '4.4', '5.5', '4.95', '', '2022-04-04']['黑美人', '3.0', '3.5', '3.25', '', '2022-04-04']['甜王', '3.3', '3.5', '3.4', '', '2022-04-04']['特小凤', '3.6', '4.5', '4.05', '', '2022-04-04']['国产香蕉', '3.6', '4.0', '3.8', '', '2022-04-04']['南美、菲律宾香蕉', '3.8', '4.3', '4.05', '', '2022-04-04']['耙耙柑', '3.2', '6.2', '4.7', '春见', '2022-04-04']
['鄂、湘、川脐橙', '2.1', '3.8', '2.95', '', '2022-04-04']
['血橙/二月红/中华红', '1.5', '3.5', '2.5', '', '2022-04-04']
['沃柑', '3.0', '5.0', '4.0', '贵妃柑', '2022-04-04']
['黄果柑', '1.8', '2.0', '1.9', '', '2022-04-04']
['冰糖橙', '1.3', '3.5', '2.4', '', '2022-04-04']
['芦柑', '1.2', '2.6', '1.9', '', '2022-04-04']
['金桔', '2.5', '6.6', '4.55', '', '2022-04-04']
['油桃', '7.0', '11.0', '9.0', '', '2022-04-04']
['黄油桃', '10.0', '12.0', '11.0', '', '2022-04-04']
['春雪', '11.0', '18.0', '14.5', '', '2022-04-04']
['猕猴桃', '3.3', '4.0', '3.65', '徐香', '2022-04-04']
['猕猴桃', '2.2', '3.0', '2.6', '海沃德', '2022-04-04']
['无籽小号-大号', '3.6', '3.8', '3.7', '', '2022-04-04']
['麒麟、甜蜜蜜', '4.4', '5.5', '4.95', '', '2022-04-04']
['黑美人', '3.0', '3.5', '3.25', '', '2022-04-04']
['甜王', '3.3', '3.5', '3.4', '', '2022-04-04']
['特小凤', '3.6', '4.5', '4.05', '', '2022-04-04']
['国产香蕉', '3.6', '4.0', '3.8', '', '2022-04-04']
['南美、菲律宾香蕉', '3.8', '4.3', '4.05', '', '2022-04-04']
['耙耙柑', '3.2', '6.2', '4.7', '春见', '2022-04-04']
['鄂、湘、川脐橙', '2.1', '3.8', '2.95', '', '2022-04-04']
['血橙/二月红/中华红', '1.5', '3.5', '2.5', '', '2022-04-04']
['沃柑', '3.0', '5.0', '4.0', '贵妃柑', '2022-04-04']
['黄果柑', '1.8', '2.0', '1.9', '', '2022-04-04']
['冰糖橙', '1.3', '3.5', '2.4', '', '2022-04-04']
['芦柑', '1.2', '2.6', '1.9', '', '2022-04-04']
['金桔', '2.5', '6.6', '4.55', '', '2022-04-04']
['油桃', '7.0', '11.0', '9.0', '', '2022-04-04']
['黄油桃', '10.0', '12.0', '11.0', '', '2022-04-04']
['春雪', '11.0', '18.0', '14.5', '', '2022-04-04']
['猕猴桃', '3.3', '4.0', '3.65', '徐香', '2022-04-04']
['猕猴桃', '2.2', '3.0', '2.6', '海沃德', '2022-04-04']
['无籽小号-大号', '3.6', '3.8', '3.7', '', '2022-04-04']
['麒麟、甜蜜蜜', '4.4', '5.5', '4.95', '', '2022-04-04']
['黑美人', '3.0', '3.5', '3.25', '', '2022-04-04']
['甜王', '3.3', '3.5', '3.4', '', '2022-04-04']
['特小凤', '3.6', '4.5', '4.05', '', '2022-04-04']
['国产香蕉', '3.6', '4.0', '3.8', '', '2022-04-04']
['南美、菲律宾香蕉', '3.8', '4.3', '4.05', '', '2022-04-04']
